utr,value_date,posting_date,description,credit_amount,debit_amount,closing_balance,bank_ref_no,transaction_type
IyW4Ob3chXLo6LO7js,19-08-2026,19-08-2026,NEFT-SETL-FSN E-COMMERCE-148788002620-setl_Pg5VY7Mjt0GiiX-BATCH34,128.55,,362639.66,148788002620,SETTLEMENT
yJojhEin7x3AwWXs0,14-08-2026,14-08-2026,IMPS-SETL-THREPSI SOLUTIONS-164184363887-setl_qTX0HGwL9Cloqy-BATCH10,12623.47,,586126.43,164184363887,SETTLEMENT
SsCvAEkL4SDDi3GQ,12-08-2026,12-08-2026,NEFT-SETL-BIGTREE ENTERTAINMENT-195875816218-setl_yA7a58Q3wxHwH0-BATCH4,384.36,,487514.18,DWAKPWRY,SETTLEMENT
HeP4UkEK9G7JLtguT,29-07-2026,29-07-2026,UPI-SETL-FLIPKART INTERNET-BATCH42,14597.08,,285882.41,800848921415,SETTLEMENT
WaaUoWAuGLmlhGAuIOeb,25-07-2026,25-07-2026,NEFT-SETL-BIGTREE ENTERTAINMENT-981029056732-setl_RSP8gk0HgPKMla-BATCH67,290.79,,807692.76,NQHHKANV,SETTLEMENT
AqgrEPaw5l2EFLfs7V,14-08-2026,14-08-2026,NEFT-SETL-AMAZON RETAIL-605191074864-setl_PxZTFGJzu39KIy-BATCH18,437.44,,597753.43,ZJOSNDPS,SETTLEMENT
KGBLrzaKRahCp6uo,07-08-2026,07-08-2026,IMPS-SETL-Innovative Retail Concepts-978920315451-setl_0EyvqGxaV5uwcp-BATCH12,388.42,,923924.44,978920315451,SETTLEMENT
UkQDW8lgxgSEN0p4X2,24-07-2026,24-07-2026,UPI-SETL-INNOVATIVE RETAIL CONCEPTS-246392325186-setl_FnLAhoZFPM7rV5-BATCH89,108627.59,,588339.11,RBVIDGJD,SETTLEMENT
XRhunO6SzdW5Gze42aZuHd,08-08-2026,09-08-2026,IMPS-SETL-AMAZON RETAIL-964978832006-setl_Spe2uur1IIroKZ-BATCH26,873.71,,296970.79,964978832006,SETTLEMENT
awQS1JuHkZP2drPNiXj8,20-08-2026,21-08-2026,UPI-SETL-BIGTREE ENTERTAINMENT-791838941571-setl_YxKkzsBHAe0pZW-BATCH78,4942.82,,703881.53,791838941571,SETTLEMENT
hO9dMowicfLmCyZg,31-07-2026,31-07-2026,IMPS-SETL-CUREFIT HEALTHCARE-606160554119-setl_Oy0ulIJqxHP4om-BATCH73,1263.05,,550661.21,VZJBOAJE,SETTLEMENT
drVNW6Xr9nlNHZmLAv1,14-08-2026,15-08-2026,NEFT-SETL-CUREFIT HEALTHCARE-640508855574-setl_OhM38k54UKcTr3-BATCH60,640.89,,649377.05,LMCIFHKP,SETTLEMENT
ngDpwNXuPSoJyEAX,08-08-2026,08-08-2026,IMPS-SETL-LENSKART COM-357769300494-setl_9sXiXUzzHcAkuz-BATCH36,193.21,,816884.89,JZHCRFIJ,SETTLEMENT
NK7NrPvfzHjKzxbhn9Z,03-08-2026,03-08-2026,NEFT-SETL-URBAN COMPANY-301436537202-setl_s9dZbS5T7d4tYo-BATCH88,3405.11,,458949.41,KWIMIOYO,SETTLEMENT
fDrb1Lm7vJp0lS80IQCA,26-07-2026,26-07-2026,UPI-SETL-INNOVATIVE RETAIL CONCEPTS-996460496095-setl_P6ZJdQKKP3qMke-BATCH96,96.26,,902671.50,RXYUFYXC,SETTLEMENT
TTRtHlO8G8wghdmmWBh,06-08-2026,06-08-2026,UPI-SETL-FLIPKART INTERNET-364689530200-setl_EOdFD4M4Su7F1G-BATCH84,19240.95,,656357.01,364689530200,SETTLEMENT
ZjZ91HgqW3DUuKwF5E,01-08-2026,01-08-2026,NEFT-SETL-CUREFIT HEALTHCARE-293608256148-setl_0NDaaVe2myTYxI-BATCH7,54.54,,604764.95,293608256148,SETTLEMENT
5jPNYapCuJ77qA0FbGId,09-08-2026,10-08-2026,NEFT-SETL-Zomato Limited-631599033259-setl_hggdoEgKE1s5dp-BATCH46,9720.07,,493500.54,631599033259,SETTLEMENT
WrgDc1uUL7RbY2WC3pFf,20-08-2026,20-08-2026,IMPS-SETL-LENSKART SOLUTIONS-BATCH51,971.33,,900414.46,422623382534,SETTLEMENT
SbmaVPidOokDVpmk,12-08-2026,12-08-2026,IMPS-SETL-INNOVATIVE RETAIL CONCEPTS-922048314336-setl_p6XoyhIXyw7sWL-BATCH50,69961.33,,659436.86,JJJSJGWP,SETTLEMENT
HbGLStuogPq4xj6b9pZ,06-08-2026,06-08-2026,IMPS-SETL-CUREFIT HEALTHCARE-959774212968-setl_OvdcwxrGRyohp0-BATCH70,185.19,,174511.77,RERDAVHA,SETTLEMENT
Cs8EqeELV7YKYzHT,14-08-2026,14-08-2026,NEFT-SETL-MAKEMYTRIP INDIA-780429144905-setl_0oDNMbENQfk89i-BATCH55,3893.17,,956774.27,UCTKLYVZ,SETTLEMENT
wNLVIKy8BtOMUYGBKVqy,13-08-2026,13-08-2026,NEFT-SETL-MYNTRA DESIGNS-926575582402-setl_T9nbYz9kgpKavB-BATCH94,2435.24,,524194.77,NGLAULKE,SETTLEMENT
x2OCaAh3bOCbax2bpSynwO,31-07-2026,01-08-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-570581278947-setl_JkDkJXiyd5KotK-BATCH65,23825.19,,449322.23,AQOFZABX,SETTLEMENT
s3yOx3ZpFtQ4HmgCYkjuQ,16-08-2026,16-08-2026,UPI-SETL-FSN E-COMMERCE-171837834816-setl_YOJdCQUJpIlOIM-BATCH9,178.39,,640208.59,171837834816,SETTLEMENT
4HB6C6rUHYMGDmyShE,02-08-2026,01-08-2026,NEFT-SETL-CUREFIT HEALTHCARE-293608256148-setl_0NDaaVe2myTYxI-BATCH7,88.64,,604764.95,293608256148,SETTLEMENT
e0gt9CeMqbPHRKbMFVZD4,27-08-2026,27-08-2026,IMPS-SETL-FLIPKART INTERNET-BATCH47,475201.95,,659058.67,,SETTLEMENT
RNQf7sFqzJYPnddbVp,07-08-2026,07-08-2026,NEFT-SETL-URBAN COMPANY-253585578492-setl_7RxiSo8Zrw9Cw8-BATCH42,2430.74,,806042.64,253585578492,SETTLEMENT
xHrRrVUdnSIFtE9mB,30-07-2026,30-07-2026,IMPS-SETL-Urban Company Ltd-145514251034-setl_dIKzouQh0Y1ZKT-BATCH26,3306.22,,616403.16,UIVZXDHR,SETTLEMENT
Fyt1aPuCLGZIL6wzfs3Mkx,10-08-2026,10-08-2026,IMPS-SETL-AMAZON RETAIL-375123782521-setl_Siy1cJqsXbqMdC-BATCH29,516.98,,781878.56,WLMJJQNW,SETTLEMENT
glG1Zi7euDjRZFCGsUfW0,24-07-2026,24-07-2026,UPI-SETL-FSN E-COMMERCE-655123000486-setl_opDp4ADHAobN1K-BATCH61,4869.64,,953341.00,655123000486,SETTLEMENT
G16q0RlGJCjBRVQYIR,24-07-2026,24-07-2026,IMPS-SETL-DELIGHTFUL GOURMET-264826488764-setl_lD1s987A3DPZ4n-BATCH29,72.90,,801236.47,BXTWBHAU,SETTLEMENT
fmgkHVNeAp1X4rhn,12-08-2026,13-08-2026,NEFT-SETL-BIGTREE ENTERTAINMENT-382852190809-setl_6GKOubeTx2hiSv-BATCH70,4865.23,,924050.53,WNGAPHGJ,SETTLEMENT
wqHUmGeOsumAb8i6swirH,27-07-2026,28-07-2026,IMPS-SETL-THREPSI SOLUTIONS-318343530408-setl_pIdeX1jfCrcbhq-BATCH12,452027.57,,113735.20,FTWTEYQD,SETTLEMENT
ndFAxLM2O7rO22eccJ,14-08-2026,14-08-2026,UPI-SETL-FLIPKART INTERNET-679253151709-setl_cDVQuPNfiWyaRW-BATCH71,485.06,,844489.26,679253151709,SETTLEMENT
zFWbTO9FxydBO5IW,30-07-2026,30-07-2026,NEFT-SETL-MAKEMYTRIP INDIA-953627233599-setl_OBozwpuesq7own-BATCH88,167.92,,344065.95,LXQMLVYN,SETTLEMENT
eEttnl2RdnjlvOvmTu,20-08-2026,20-08-2026,NEFT-SETL-MYNTRA DESIGNS-446177337889-setl_KTd0mZwAnNzt3a-BATCH53,6532.80,,324436.24,SZSUPXBG,SETTLEMENT
XOhym8TvZlIfclcMNJI1E,25-07-2026,25-07-2026,IMPS-SETL-FKRT-804549259878-setl_Xd3Mw3YEpIf2U7-BATCH66,2752.60,,154296.28,804549259878,SETTLEMENT
Q20mUoKg8UQi2pb8T6E,04-08-2026,04-08-2026,UPI-SETL-BOOKMYSHOW-576007055792-setl_0uppRnfYjM3OLy-BATCH61,3412.08,,760801.04,HOAJSHHU,SETTLEMENT
5WGaBRQLtUsh6Ui6,22-07-2026,22-07-2026,IMPS-SETL-MYNTRA DESIGNS-452597138568-setl_BOfUM59p8eIBvT-BATCH52,5840.25,,407467.26,452597138568,SETTLEMENT
kRFklYb7FdD5uWzceo,18-08-2026,18-08-2026,IMPS-SETL-MYNTRA DESIGNS-955683438094-setl_1SBG5A6C6V1dIr-BATCH86,776.57,,771761.47,955683438094,SETTLEMENT
1FCUsUuTJ5UpFdNAfLRq,30-07-2026,30-07-2026,NEFT-SETL-MAKEMYTRIP INDIA-953627233599-setl_OBozwpuesq7own-BATCH88,352.41,,344065.95,LXQMLVYN,SETTLEMENT
XaGlFy4mGCPnQq9yEwr,26-07-2026,26-07-2026,UPI-SETL-FSN E-COMMERCE-951037415736-setl_SiSPESZnRUWQLk-BATCH3,389.01,,543545.29,951037415736,SETTLEMENT
yegJue6lFhY5VzsbGRR2,06-08-2026,06-08-2026,NEFT-SETL-THREPSI SOLUTIONS-947849562367-setl_D8RouEgHHeZkSA-BATCH73,727.31,,722529.78,BDNQHBSP,SETTLEMENT
S2V3SBJlk9exGvf1V,31-07-2026,31-07-2026,NEFT-SETL-FLIPKART INTERNET-830134896698-setl_1TizvkzKwP6kWQ-BATCH37,681.40,,318753.93,830134896698,SETTLEMENT
MSjKou1lj2kfipZF,30-07-2026,30-07-2026,IMPS-SETL-AMAZON RETAIL-857353541737-setl_ATGAmLbrpDNn6g-BATCH37,266793.07,,567702.92,IHTCKXPX,SETTLEMENT
UEi7DU3X4hwed5Jyg,19-08-2026,19-08-2026,UPI-SETL-NYKAA ECOMM-667532097332-setl_Xvy76rsxDhTvY6-BATCH89,3412.73,,769289.68,FETYMBTI,SETTLEMENT
uBMes1no2seh8VjcEZBg,29-07-2026,29-07-2026,NEFT-SETL-LENSKART SOLUTIONS-839180532275-setl_xRPxSpBsZKx0rL-BATCH97,123.94,,936562.96,GSTZZDOF,SETTLEMENT
gaFeXadYPKw54NBKBi,11-08-2026,11-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-786116785051-setl_h1WS4dGmmS93JQ-BATCH84,,3583.96,435316.79,ASMXPVCT,CHARGEBACK
5qYSwnr6cZoYNnXaq3d,19-08-2026,19-08-2026,NEFT-SETL-FSN E-COMMERCE-177705406380-setl_Rj1zTyoii3UX47-BATCH55,193.51,,694377.44,MVCFYCEL,SETTLEMENT
b9YjJuZDIUCI5Ft7qnlA3C,26-07-2026,26-07-2026,UPI-SETL-FLIPKART INTERNET-848006224623-setl_BNk7lK2aazVEXK-BATCH25,3900.88,,449848.41,WRIJOJPP,SETTLEMENT
Vp00Wg6ADd4zwPnOH0m8R,01-08-2026,01-08-2026,IMPS-SETL-MAKEMYTRIP INDIA-BATCH82,730.08,,419377.24,220756005369,SETTLEMENT
l5QFotiyIAJDhZ43AuSEV,19-08-2026,19-08-2026,IMPS-SETL-ZOMATO LIMITED-145854432856-setl_iMjlhfsD27XlbG-BATCH45,4053.92,,841818.70,145854432856,SETTLEMENT
QLbkRjxdYMBJN4X8RvbujW,24-07-2026,24-07-2026,UPI-SETL-FSN E-COMMERCE-BATCH83,19484.06,,224637.02,RMWTAYDG,SETTLEMENT
sV9iyxPN32gJFAenZoxtVe,27-07-2026,27-07-2026,IMPS-SETL-THREPSI SOLUTIONS-581512304175-setl_fe5l97cYXG7OkO-BATCH70,129.14,,543174.66,581512304175,SETTLEMENT
04YVfIzM1IUreftnyC,19-08-2026,19-08-2026,NEFT-SETL-AMAZON RETAIL-575643944957-setl_UXcvUFPfM28iQU-BATCH88,5835.67,,966360.21,ERGUCBAK,SETTLEMENT
53AqEMU5FwrTeSord2q,22-07-2026,23-07-2026,UPI-SETL-MYNTRA DESIGNS-106094141290-setl_DOy8nWGrEAas9k-BATCH33,779.75,,730933.00,BDOONORA,SETTLEMENT
H2gdHvDj79RljrGNPmu3,27-07-2026,28-07-2026,UPI-SETL-MAKEMYTRIP INDIA-360639468768-setl_kCzoan9rQkLvbB-BATCH62,3412.15,,745516.50,360639468768,SETTLEMENT
GaIdJy3It4qasatAXVN,11-08-2026,11-08-2026,NEFT-SETL-AMAZON RETAIL-974116490691-setl_TiM8Q9QOUrclMG-BATCH27,65540.42,,346873.80,ACZKXEQJ,SETTLEMENT
YVcq7zPQ2AYbVweUq,20-08-2026,21-08-2026,IMPS-SETL-LENSKART SOLUTIONS-193006170595-setl_AGXdEGogyEDBiT-BATCH48,156613.37,,490099.24,FFXQJTDV,SETTLEMENT
QQq6d7nJTPMTgPs6vzn4D,11-08-2026,11-08-2026,IMPS-SET,4869.38,,462350.22,,SETTLEMENT
Z1BpgXhyBVWm7DgTU,24-07-2026,24-07-2026,IMPS-SETL-FLIPKART INTERNET-713329446406-setl_PdpitMVD5OsMrJ-B,583.30,,737915.93,713329446406,SETTLEMENT
hISit5QmEYQp0dDCwGkpDN,30-07-2026,30-07-2026,NEFT-SETL-INNOVATIVE RETAIL CONCEPTS-855354150095-setl_9k3YYoLXNYYQrM-BATCH34,967.83,,132735.32,855354150095,SETTLEMENT
Ga8s6Ah8vNPaMvtKjYyp,04-08-2026,05-08-2026,UPI-SETL-THREPSI SOLUTIONS-502894705279-setl_pICZmf6wY3v0kz-BATCH89,7322.84,,949074.57,EBRTDPSK,SETTLEMENT
KIF93igPDPVNsiSTzyeE,10-08-2026,10-08-2026,MISC-CREDIT-NHRXTQNH,7700.58,,524033.06,,MISC_CREDIT
rGynecRGWljqKAuwqx,20-08-2026,20-08-2026,IMPS-SETL-CUREFIT HEALTHCARE-BATCH40,12642.26,,124952.18,ZIKVQXPJ,SETTLEMENT
PYgoUVgp6fC5YyBuYxGT,29-07-2026,29-07-2026,UPI-SETL-MAKEMYTRIP INDIA-BATCH71,5831.19,,628416.18,NKDJFDSP,SETTLEMENT
hTbwgJ0tFmuXL8lDVvLeqf,22-07-2026,23-07-2026,IMPS-SETL-INNOVATIVE RETAIL CONCEPTS-974525717625-setl_qRhPMY8e56HAYC-BATCH83,160.42,,645385.99,YKTVJMUY,SETTLEMENT
Mtfu5r3ZNAcycNTUYEu99,05-08-2026,05-08-2026,NEFT-SETL-LENSKART SOLUTIONS-948503821822-setl_Jgz1ykZkTkswA1-BATCH45,1266.82,,323441.32,NQFGFJAP,SETTLEMENT
yruwPPLvQeDSTtJQr,25-07-2026,26-07-2026,NEFT-SETL-MAKEMYTRIP INDIA-105831647663-setl_37Hk3gJKY3RjcB-BATCH34,30.32,,462086.21,KCLMYESG,SETTLEMENT
dYasHbEP5HS8YBVK89g,13-08-2026,13-08-2026,NEFT-SETL-Lenskart Solutions Pvt Ltd-187871744988-setl_9hu3Go6cQopVZU-BATCH45,583.23,,971998.63,UBRSYPGC,SETTLEMENT
pD1SMQU1T2xc5YWUb1,20-08-2026,20-08-2026,UPI-SETL-INNOVATIVE RETAIL CONCEP,475055.27,,925333.61,ZTSVMOPA,SETTLEMENT
R005RnGglbZoL0GiNJFK4H,09-08-2026,09-08-2026,IMPS-SETL-ZOMATO LIMITED-323749844118-setl_8SvyDQ3C0dkQlv-BATCH89,14637.24,,681278.98,323749844118,SETTLEMENT
3w5remIbyCaPF2M9iM73y,29-07-2026,29-07-2026,NEFT-SETL-INNOVATIVE RETAIL CONCEPTS-981948678114-setl_yZlOvo5FgzYiUE-BATCH45,111.04,,577829.48,981948678114,SETTLEMENT
j7kqADSkyFZthO3TNz75c,08-08-2026,08-08-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-747274840562-setl_WPzlzUkHBh0G9N-BATCH81,12617.35,,524844.83,747274840562,SETTLEMENT
gLfFAh6PHK5FWzy9ZVmaD,17-08-2026,17-08-2026,UPI-SETL-THREPSI SOLUTIONS-788447946470-setl_S6n3pCN9Fvb1YY-BATCH54,547.51,,838022.22,788447946470,SETTLEMENT
oySA7GzG27jdix2aemx6Z,31-07-2026,01-08-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-570581278947-setl_JkDkJXiyd5KotK-BATCH65,2078.70,,449322.23,AQOFZABX,SETTLEMENT
kP3kiFtmrVNhN45YVyof,20-08-2026,21-08-2026,NEFT-SETL-FLIPKART INTERNET-387887763983-setl_40dw0BJj6wPvfa-BATCH29,60.36,,461987.63,387887763983,SETTLEMENT
gNuYapJEj7Nx2KRq7W,26-07-2026,26-07-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-414627795935-setl_XVI3RgjFCsUPjs-BATCH39,94449.94,,177420.37,DMEKGKHJ,SETTLEMENT
hQaTfE7uJ2YAsvdXBsx,11-08-2026,11-08-2026,NEFT-SETL-AMAZON RETAIL-502341674689-setl_B2fF3wZgbjhrKJ-BATCH28,1750.29,,388776.43,APZTBXEQ,SETTLEMENT
OrV6wAlqHpAJkqcK41f,13-08-2026,13-08-2026,UPI-SETL-Myntra Designs Pvt Ltd-662028759001-setl_ahLhffWa2GULpL-BATCH39,583.73,,712868.55,TFGSEXHX,SETTLEMENT
bZhZhpAyvb46rhyzWTUQO,27-07-2026,27-07-2026,IMPS-SETL-FSN E-COMMERCE-612427007675-setl_PC7xaYDHpfUFCm-BATCH38,,437.98,169013.95,612427007675,CHARGEBACK
DU1BBTVkzBqvwfHTG,08-08-2026,08-08-2026,IMPS-SETL-CUREFIT HEALTHCARE-318269481887-setl_c8sPfiGPd3tAI1-BATCH8,14584.99,,932052.39,LTYLSFMV,SETTLEMENT
u4zK21xvsKo0vudsy6Pu,20-08-2026,19-08-2026,NEFT-SETL-FSN E-COMMERCE-148788002620-setl_Pg5VY7Mjt0GiiX-BATCH34,47.42,,362639.66,148788002620,SETTLEMENT
FKLQ98HkN2tmqL6rz3,16-08-2026,16-08-2026,NEFT-SETL-MAKEMYTRIP INDIA-BATCH15,6908.93,,444047.47,GJLVIBGM,SETTLEMENT
F32PVobZjT4IO4VnBe4qL,11-08-2026,11-08-2026,NEFT-SETL-THREPSI SOLUTIONS-694701765545-setl_wZR4H2TI1QQpQI-BATCH31,112.71,,379772.99,DJXNJZHI,SETTLEMENT
sHzHyprQL26Fkaukk,25-07-2026,25-07-2026,UPI-SETL-MAKEMYTRIP INDIA-523013502355-setl_OsBuvypWesbHtd-BATCH47,3727.67,,171543.64,523013502355,SETTLEMENT
l8c6xAJUHjbAoq5A,11-08-2026,11-08-2026,NEFT-SETL-ZOMATO LIMITED-781326433897-setl_FTdRPU1eldNZuc-BATCH40,12620.59,,905350.54,AHOKLLPR,SETTLEMENT
5m1e1Wnrr6Fe3xCB,08-08-2026,08-08-2026,UPI-SETL-BOOKMYSHOW-164789300149-setl_PlX3wp1IheZvoA-BATCH78,180.44,,855217.18,164789300149,SETTLEMENT
mPI6uX8cKtRrHzcdJ5UgY,09-08-2026,09-08-2026,NEFT-SETL-BUNDL TECHNOLOGIES-773267878946-setl_1CbyIB0eQ16aUA-BATCH43,6404.23,,273031.10,AEFJNGXW,SETTLEMENT
UnXN0Gib2z6F4eodsw7,26-07-2026,26-07-2026,IMPS-SETL-INNOVATIVE RETAIL CONCEPTS-642310742298-setl_DERyvCjolAHwvs-BATCH92,7777.75,,858825.26,XDQGZDUV,SETTLEMENT
ZOl9NlksuK1tzfiUIX,10-08-2026,10-08-2026,UPI-SETL-URBAN COMPANY-547753153134-setl_1xMaxUExPAq1pl-BATCH1,3397.94,,913548.31,JSBKXZQW,SETTLEMENT
