entry_id,invoice_no,gateway_ref,customer_name,gross_amount,discount,tax_amount,net_amount,entry_date,account_code,posted_by,memo,status
JE-000199,INV/2026/00199,pay_GpRo1j69U1Bswj,FSN E-COMMERCE,12999.00,0.00,0.00,12999.00,08/09/2026,4539,batch_import,,posted
JE-000263,INV/2026/00263,pay_uU2MXBpKv5wu2a,URBAN COMPANY,2548.89,0.00,0.00,2548.89,07/28/2026,4954,accounts_team,,posted
JE-000112,INV/2026/00112,pay_4gQUmjIURgaPnK,BIGTREE ENTERTAINMENT,3172.51,0.00,0.00,3172.51,08/12/2026,4934,accounts_team,,posted
JE-000103,INV/2026/00103,,INNOVATIVE RETAIL CONCEPTS,84.90,0.00,0.00,84.90,07/23/2026,4013,batch_import,,posted
JE-000015,INV/2026/00015,pay_aNrhbQQuouytZN,FSN E-COMMERCE,784.78,0.00,0.00,784.78,07/29/2026,4308,batch_import,,posted
JE-000086,INV/2026/00086,pay_RRc3xHuMcrKlxW,MAKEMYTRIP INDIA,999.00,0.00,0.00,999.00,07/28/2026,4883,sysuser,,posted
JE-000281,INV/2026/00281,,BUNDL TECHNOLOGIES,5999.00,0.00,0.00,5999.00,08/10/2026,4437,accounts_team,,posted
JE-000107,INV/2026/00107,,URBAN COMPANY,4999.00,0.00,0.00,4999.00,08/11/2026,4898,sysuser,,posted
JE-000175,INV/2026/00175,,BUNDL TECHNOLOGIES,1499.00,0.00,0.00,1499.00,07/24/2026,4643,batch_import,,posted
JE-000140,INV/2026/00140,pay_u7dtTwBpYZwy2y,INNOVATIVE RETAIL CONCEPTS,843.37,0.00,0.00,843.37,08/12/2026,4525,sysuser,,posted
JE-000255,INV/2026/00255,pay_XYcGy0tVjIgerv,FSN E-COMMERCE,199.00,0.00,0.00,199.00,08/20/2026,4179,batch_import,,posted
JE-000084,INV/2026/00084,,THREPSI SOLUTIONS,463568.51,0.00,0.00,463568.51,07/27/2026,4844,sysuser,,posted
JE-000063,INV/2026/00063,,URBAN COMPANY,4999.00,0.00,0.00,4999.00,08/11/2026,4024,sysuser,,posted
JE-000165,INV/2026/00165,pay_N7ndE8DU9A4c6M,FSN E-COMMERCE,19999.00,0.00,0.00,19999.00,07/24/2026,4606,sysuser,,posted
JE-000004,INV/2026/00004,,URBAN COMPANY,349.00,0.00,0.00,349.00,07/28/2026,4836,sysuser,,posted
JE-000156,INV/2026/00156,pay_lg9Nh8ZyAgmLdo,MYNTRA DESIGNS,5999.00,0.00,0.00,5999.00,07/22/2026,4288,accounts_team,,posted
JE-000088,INV/2026/00088,pay_m8OYPENGvx1Jbo,BUNDL TECHNOLOGIES,9999.00,0.00,0.00,9999.00,08/14/2026,4134,sysuser,,posted
JE-000268,INV/2026/00268,pay_vsIHLGlTYVUf7H,BIGTREE ENTERTAINMENT,97175.57,0.00,0.00,97175.57,07/26/2026,4533,sysuser,,posted
JE-000247,INV/2026/00247,pay_mbi3fZmuAh7rID,FSN E-COMMERCE,449.00,0.00,0.00,449.00,07/28/2026,4583,accounts_team,,posted
JE-000158,INV/2026/00158,pay_RSd3GVvDTC81pr,BUNDL TECHNOLOGIES,3670.68,0.00,0.00,3670.68,08/12/2026,4646,accounts_team,,posted
JE-000296,INV/2026/00296,pay_6MK1IYQvUbXCy7,DELIGHTFUL GOURMET,349.00,0.00,0.00,349.00,07/30/2026,4600,sysuser,,posted
JE-000096,INV/2026/00096,pay_CTqafGZzz8MNP7,MYNTRA DESIGNS,12999.00,0.00,0.00,12999.00,08/14/2026,4807,sysuser,,posted
JE-000174,INV/2026/00174,pay_Q47ZbxXeHlDNl9,AMAZON RETAIL,199.00,0.00,0.00,199.00,07/30/2026,4684,sysuser,,posted
JE-000229,INV/2026/00229,pay_3hFmYebDqL2U0v,MYNTRA DESIGNS,2499.00,0.00,0.00,2499.00,08/13/2026,4118,batch_import,,posted
JE-000217,INV/2026/00217,pay_5gVBf73no8xB0f,URBAN COMPANY,1799.00,0.00,0.00,1799.00,07/31/2026,4712,batch_import,,posted
JE-000214,INV/2026/00214,pay_ZIhUe4qrcQ6W78,MAKEMYTRIP INDIA,1199.00,0.00,0.00,1199.00,07/29/2026,4580,sysuser,,posted
JE-000216,INV/2026/00216,pay_XNyyuYV5yso8Hr,INNOVATIVE RETAIL CONCEPTS,3499.00,0.00,0.00,3499.00,07/31/2026,4535,batch_import,,posted
JE-000306,INV/2026/00306,,DELIGHTFUL GOURMET,6727.77,0.00,0.00,6727.77,07/31/2026,4218,sysuser,Voided entry,void
JE-000133,INV/2026/00133,pay_3tSdCskjHBbF6K,LENSKART SOLUTIONS,2767.25,0.00,0.00,2767.25,07/29/2026,4469,batch_import,,posted
JE-000274,INV/2026/00274,pay_0zdvdznER84nm1,FSN E-COMMERCE,199.00,0.00,0.00,199.00,07/27/2026,4762,sysuser,,posted
JE-000085,INV/2026/00085,pay_9Y7R2tagT40DF1,MYNTRA DESIGNS,50814.06,0.00,0.00,50814.06,07/27/2026,4428,accounts_team,,posted
JE-000072,INV/2026/00072,,INNOVATIVE RETAIL CONCEPTS,99.00,0.00,0.00,99.00,08/18/2026,4189,batch_import,,posted
JE-000238,INV/2026/00238,pay_rY3rdHHdtsd3jy,BIGTREE ENTERTAINMENT,1199.00,0.00,0.00,1199.00,07/30/2026,4452,batch_import,,posted
JE-000237,INV/2026/00237,pay_xLfIyh8z0hYZvt,FLIPKART INTERNET,182.48,0.00,0.00,182.48,08/18/2026,4224,batch_import,,posted
JE-000114,INV/2026/00114,pay_KDtDWhCJBrMUtU,URBAN COMPANY,1085.31,0.00,0.00,1085.31,08/03/2026,4219,batch_import,,posted
JE-000187,INV/2026/00187,pay_Fhbb08lkUHFvGs,THREPSI SOLUTIONS,21.53,0.00,0.00,21.53,08/03/2026,4736,sysuser,,posted
JE-000243,INV/2026/00243,pay_IRK48224s5QolP,AMAZON RETAIL,599.00,0.00,0.00,599.00,08/05/2026,4112,batch_import,,posted
JE-000203,INV/2026/00203,pay_4GCAJ4G3reEgeG,AMAZON RETAIL,2559.02,0.00,0.00,2559.02,07/26/2026,4586,accounts_team,,posted
JE-000294,INV/2026/00294,pay_jvMfVNkQq5CyZa,BUNDL TECHNOLOGIES,449.00,0.00,0.00,449.00,08/09/2026,4459,batch_import,,posted
JE-000167,INV/2026/00167,pay_HGmWr0UBKZ8Mwk,INNOVATIVE RETAIL CONCEPTS,164.54,0.00,0.00,164.54,07/22/2026,4928,batch_import,,posted
JE-000095,INV/2026/00095,,MYNTRA DESIGNS,13953.64,0.00,0.00,13953.64,07/23/2026,4387,sysuser,,posted
JE-000295,INV/2026/00295,pay_nZ6w08QaMotF6q,AMAZON RETAIL,699.00,0.00,0.00,699.00,08/08/2026,4359,sysuser,,posted
JE-000126,INV/2026/00126,pay_fMQ4JMkBCpwY4J,LENSKART SOLUTIONS,1299.00,0.00,0.00,1299.00,08/06/2026,4948,batch_import,,posted
JE-000060,INV/2026/00060,pay_q5gAXV9SnEeQJy,BIGTREE ENTERTAINMENT,2439.43,0.00,0.00,2439.43,08/20/2026,4247,batch_import,,posted
JE-000139,INV/2026/00139,pay_bBZODILfvgDWIg,INNOVATIVE RETAIL CONCEPTS,315180.24,0.00,0.00,315180.24,08/13/2026,4947,sysuser,,posted
JE-000241,INV/2026/00241,pay_pJgC9pMoVsdoUC,BUNDL TECHNOLOGIES,399.00,0.00,0.00,399.00,07/26/2026,4467,batch_import,,posted
JE-000119,INV/2026/00119,pay_o6tLIPJjS9TY8f,FLIPKART INTERNET,2833.28,0.00,0.00,2833.28,07/25/2026,4619,batch_import,,posted
JE-000283,INV/2026/00283,pay_O4hNWog2i8387Q,AMAZON RETAIL,83.22,0.00,0.00,83.22,08/18/2026,4306,batch_import,,posted
JE-000279,INV/2026/00279,pay_TqwKiteIfx2rNi,THREPSI SOLUTIONS,133.05,0.00,0.00,133.05,07/26/2026,4871,accounts_team,,posted
JE-000038,INV/2026/00038,pay_wD1F1FOL3SUKDB,URBAN COMPANY,8741.09,0.00,0.00,8741.09,08/19/2026,4995,sysuser,,posted
JE-000258,INV/2026/00258,pay_qSHcJFII8kwmUK,BUNDL TECHNOLOGIES,1199.00,0.00,0.00,1199.00,08/13/2026,4812,accounts_team,,posted
JE-000287,INV/2026/00287,pay_lJMhvc918Mpm2w,AMAZON RETAIL,699.00,0.00,0.00,699.00,07/26/2026,4669,batch_import,,posted
JE-000231,INV/2026/00231,pay_JiIdvpyaszOTX1,FLIPKART INTERNET,599.00,0.00,0.00,599.00,07/23/2026,4082,sysuser,,posted
JE-000242,INV/2026/00242,pay_20Y5J0KFtjkflz,URBAN COMPANY,3499.00,0.00,0.00,3499.00,08/09/2026,4773,batch_import,,posted
JE-000019,INV/2026/00019,,DELIGHTFUL GOURMET,499.00,0.00,0.00,499.00,07/22/2026,4533,sysuser,,posted
JE-000022,INV/2026/00022,pay_LGXj43E7lfM8I7,BIGTREE ENTERTAINMENT,299.00,0.00,0.00,299.00,07/25/2026,4153,batch_import,,posted
JE-000141,INV/2026/00141,pay_gNHz6RH2mGSVvc,Zomato Limited,14999.00,0.00,0.00,14999.00,08/09/2026,4992,sysuser,,posted
JE-000131,INV/2026/00131,,URBAN COMPANY,3499.00,0.00,0.00,3499.00,08/09/2026,4156,sysuser,,posted
JE-000226,INV/2026/00226,pay_OHS1YQbdZ4z2nK,INNOVATIVE RETAIL CONCEPTS,1499.00,0.00,0.00,1499.00,07/31/2026,4331,accounts_team,,posted
JE-000284,INV/2026/00284,,INNOVATIVE RETAIL CONCEPTS,12999.00,0.00,0.00,12999.00,07/28/2026,4446,batch_import,,posted
JE-000311,INV/2026/00311,,BUNDL TECHNOLOGIES,44970.35,0.00,0.00,44970.35,08/16/2026,4261,sysuser,Not yet posted,draft
JE-000168,INV/2026/00168,pay_O40ahkDqLO35g5,FLIPKART INTERNET,14999.00,0.00,0.00,14999.00,07/27/2026,4467,accounts_team,,posted
JE-000124,INV/2026/00124,pay_aCfxQlrNZi5csV,MAKEMYTRIP INDIA,3820.74,0.00,0.00,3820.74,07/24/2026,4510,sysuser,,posted
JE-000089,INV/2026/00089,,CUREFIT HEALTHCARE,173.31,0.00,0.00,173.31,08/07/2026,4478,batch_import,,posted
JE-000029,INV/2026/00029,pay_YEOap6DpErIAqU,CUREFIT HEALTHCARE,1489.65,0.00,0.00,1489.65,08/15/2026,4238,batch_import,,posted
JE-000155,INV/2026/00155,,MAKEMYTRIP INDIA,5999.00,0.00,0.00,5999.00,08/14/2026,4330,sysuser,,posted
JE-000193,INV/2026/00193,pay_OHrPZyFHQ9vLDz,DELIGHTFUL GOURMET,7767.54,0.00,0.00,7767.54,08/07/2026,4301,accounts_team,,posted
JE-000169,INV/2026/00169,pay_dy4cfQCtfn2EyB,BUNDL TECHNOLOGIES,599.00,0.00,0.00,599.00,08/09/2026,4888,accounts_team,,posted
JE-000307,INV/2026/00307,,DELIGHTFUL GOURMET,16945.32,0.00,0.00,16945.32,08/18/2026,4786,sysuser,Not yet posted,draft
JE-000024,INV/2026/00024,pay_iqAY6YGnS0l68c,CUREFIT HEALTHCARE,658.79,0.00,0.00,658.79,08/14/2026,4737,sysuser,,posted
JE-000232,INV/2026/00232,pay_C0CjVGYvTyJv5t,INNOVATIVE RETAIL CONCEPTS,13793.23,0.00,0.00,13793.23,07/25/2026,4425,sysuser,,posted
JE-000059,INV/2026/00059,pay_wF2Ad7D1uYcgvd,BUNDL TECHNOLOGIES,3116.48,0.00,0.00,3116.48,08/04/2026,4521,accounts_team,,posted
JE-000111,INV/2026/00111,pay_HjjrvcL6JMihAK,FSN E-COMMERCE,3499.00,0.00,0.00,3499.00,08/19/2026,4613,batch_import,,posted
JE-000266,INV/2026/00266,pay_dmlpDvFMtPO16N,BUNDL TECHNOLOGIES,1367.82,0.00,0.00,1367.82,07/30/2026,4184,sysuser,,posted
JE-000093,INV/2026/00093,pay_RqUOEVI8mu3L9f,CUREFIT HEALTHCARE,1499.00,0.00,0.00,1499.00,08/14/2026,4069,sysuser,,posted
JE-000097,INV/2026/00097,pay_Dnt76fkfG58Vfy,ZOMATO LIMITED,1386.47,0.00,0.00,1386.47,08/02/2026,4188,sysuser,,posted
JE-000044,INV/2026/00044,pay_RYOdg8nIMj4iRB,THREPSI SOLUTIONS,115.83,0.00,0.00,115.83,08/10/2026,4783,sysuser,,posted
JE-000143,INV/2026/00143,pay_988PYutcVE5JAO,FLIPKART INTERNET,699.00,0.00,0.00,699.00,08/01/2026,4129,accounts_team,,posted
JE-000313,INV/2026/00313,,CUREFIT HEALTHCARE,25006.86,0.00,0.00,25006.86,08/16/2026,4326,sysuser,Voided entry,void
JE-000211,INV/2026/00211,pay_3rmAbKWtLQyP53,INNOVATIVE RETAIL CONCEPTS,599.00,0.00,0.00,599.00,07/23/2026,4158,batch_import,,posted
JE-000220,INV/2026/00220,,Lenskart Solutions Pvt Ltd,1799.00,0.00,0.00,1799.00,08/20/2026,4035,sysuser,,posted
JE-000207,INV/2026/00207,pay_I8MJtJZCCixHnk,BIGTREE ENTERTAINMENT,12999.00,0.00,0.00,12999.00,08/02/2026,4208,sysuser,,posted
JE-000213,INV/2026/00213,pay_V9WjAXrauoOoWX,FLIPKART INTERNET,699.00,0.00,0.00,699.00,07/24/2026,4097,sysuser,,posted
JE-000246,INV/2026/00246,pay_Hv37aMlwFAd2PY,MAKEMYTRIP INDIA,8494.99,0.00,0.00,8494.99,08/15/2026,4930,sysuser,,posted
JE-000054,INV/2026/00054,pay_fDd4UJZbXWbz6N,THREPSI SOLUTIONS,4672.18,0.00,0.00,4672.18,07/28/2026,4020,sysuser,,posted
JE-000249,INV/2026/00249,pay_65aBBn9sxNpKZY,BIGTREE ENTERTAINMENT,5073.12,0.00,0.00,5073.12,08/20/2026,4148,batch_import,,posted
JE-000100,INV/2026/00100,,FSN E-COMMERCE,235.03,0.00,0.00,235.03,08/03/2026,4361,batch_import,,posted
JE-000043,INV/2026/00043,,DELIGHTFUL GOURMET,499.00,0.00,0.00,499.00,07/22/2026,4670,sysuser,,posted
JE-000006,INV/2026/00006,,FLIPKART INTERNET,499.00,0.00,0.00,499.00,08/15/2026,4555,accounts_team,,posted
JE-000002,INV/2026/00002,pay_wKGeROa2xDZ7w6,AMAZON RETAIL,880.10,0.00,0.00,880.10,08/08/2026,4817,sysuser,,posted
JE-000137,INV/2026/00137,pay_YSkoxV0nGjkaYs,INNOVATIVE RETAIL CONCEPTS,118.33,0.00,0.00,118.33,07/30/2026,4829,batch_import,,posted
JE-000224,INV/2026/00224,pay_RFpa9vd840Xcxy,URBAN COMPANY,68.30,0.00,0.00,68.30,08/10/2026,4344,batch_import,,posted
JE-000025,INV/2026/00025,pay_oIwFXHlVpeZZkx,DELIGHTFUL GOURMET,199.19,0.00,0.00,199.19,08/09/2026,4063,accounts_team,,posted
JE-000288,INV/2026/00288,,FLIPKART INTERNET,4999.00,0.00,0.00,4999.00,07/23/2026,4786,accounts_team,,posted
JE-000108,INV/2026/00108,pay_9tniVz6dSkz2HH,BUNDL TECHNOLOGIES,6251.89,0.00,0.00,6251.89,08/04/2026,4493,batch_import,,posted
JE-000146,INV/2026/00146,,FLIPKART INTERNET,749.00,0.00,0.00,749.00,08/20/2026,4022,accounts_team,,posted
JE-000014,INV/2026/00014,pay_ZlRNYCnBjCVsc6,LENSKART SOLUTIONS,1663.75,0.00,0.00,1663.75,08/03/2026,4259,accounts_team,,posted
JE-000009,INV/2026/00009,pay_LmdKxRad896p7z,AMAZON RETAIL,3999.00,0.00,0.00,3999.00,08/12/2026,4313,batch_import,,posted
JE-000316,INV/2026/00316,,URBAN COMPANY,7619.51,0.00,0.00,7619.51,08/17/2026,4581,sysuser,Not yet posted,draft
JE-000101,INV/2026/00101,pay_3qwfeLDfFKtx14,BIGTREE ENTERTAINMENT,4232.23,0.00,0.00,4232.23,07/24/2026,4615,sysuser,,posted
JE-000073,INV/2026/00073,pay_OAtz4f5ibEBmNY,LENSKART SOLUTIONS,499.00,0.00,0.00,499.00,07/27/2026,4837,sysuser,,posted
JE-000212,INV/2026/00212,pay_5PKuK7wajpbe2f,INNOVATIVE RETAIL CONCEPTS,7999.00,0.00,0.00,7999.00,07/26/2026,4300,sysuser,,posted
JE-000309,INV/2026/00309,,AMAZON RETAIL,16707.74,0.00,0.00,16707.74,08/06/2026,4480,sysuser,Voided entry,void
JE-000005,INV/2026/00005,pay_GZirQbpQHEfle7,ZOMATO LIMITED,18389.88,0.00,0.00,18389.88,07/29/2026,4639,sysuser,,posted
JE-000184,INV/2026/00184,pay_eDL1b6119FnS4z,AMAZON RETAIL,1299.00,0.00,0.00,1299.00,07/29/2026,4153,accounts_team,,posted
JE-000121,INV/2026/00121,pay_J5yaACSC0QxhKw,DELIGHTFUL GOURMET,999.00,0.00,0.00,999.00,08/17/2026,4185,sysuser,,posted
JE-000218,INV/2026/00218,pay_JEhx20kOKdkt5i,THREPSI SOLUTIONS,171695.27,0.00,0.00,171695.27,07/22/2026,4674,batch_import,,posted
JE-000170,INV/2026/00170,,ZOMATO LIMITED,1536.00,0.00,0.00,1536.00,08/09/2026,4394,accounts_team,,posted
JE-000075,INV/2026/00075,pay_Osxczqfgp9p49K,FLIPKART INTERNET,299.00,0.00,0.00,299.00,07/23/2026,4504,accounts_team,,posted
JE-000180,INV/2026/00180,pay_p1xqIlkn7FCOKW,CUREFIT HEALTHCARE,12999.00,0.00,0.00,12999.00,08/20/2026,4051,accounts_team,,posted
JE-000125,INV/2026/00125,pay_weqXkm488C9lBP,FLIPKART INTERNET,19761.67,0.00,0.00,19761.67,08/06/2026,4479,batch_import,,posted
JE-000233,INV/2026/00233,pay_lsHGgie64D9nce,Bigtree Entertainment Pvt Ltd,185.49,0.00,0.00,185.49,08/08/2026,4118,batch_import,,posted
JE-000298,INV/2026/00298,pay_kInQaVrtgje8br,FLIPKART INTERNET,253.95,0.00,0.00,253.95,08/20/2026,4737,sysuser,,posted
JE-000110,INV/2026/00110,,DELIGHTFUL GOURMET,599.00,0.00,0.00,599.00,07/23/2026,4681,sysuser,,posted
JE-000314,INV/2026/00314,,THREPSI SOLUTIONS,16933.82,0.00,0.00,16933.82,08/15/2026,4872,sysuser,Voided entry,void
JE-000068,INV/2026/00068,pay_XbPUpmLNluDSYv,MAKEMYTRIP INDIA,399.00,0.00,0.00,399.00,08/20/2026,4874,accounts_team,,posted
JE-000138,INV/2026/00138,pay_AG7ldvutpM6We6,CUREFIT HEALTHCARE,488.04,0.00,0.00,488.04,07/29/2026,4528,accounts_team,,posted
JE-000104,INV/2026/00104,pay_WoQxJMW98eBmpY,MYNTRA DESIGNS,799.00,0.00,0.00,799.00,07/23/2026,4580,accounts_team,,posted
JE-000204,INV/2026/00204,pay_A7VULc7chkDJbw,URBANCLAP,3401.57,0.00,0.00,3401.57,07/30/2026,4893,sysuser,,posted
JE-000062,INV/2026/00062,pay_loE7B06Fx05QAT,BOOKMYSHOW,5999.00,0.00,0.00,5999.00,07/30/2026,4311,accounts_team,,posted
JE-000128,INV/2026/00128,pay_mbNnwxOfcaZFHa,LENSKART SOLUTIONS,130.07,0.00,0.00,130.07,08/19/2026,4617,accounts_team,,posted
JE-000046,INV/2026/00046,pay_Lxljwjql06Njh7,FSN E-COMMERCE,9320.46,0.00,0.00,9320.46,07/25/2026,4570,accounts_team,,posted
JE-000150,INV/2026/00150,pay_KlofFLVijogyfO,INNOVATIVE RETAIL CONCEPTS,11349.13,0.00,0.00,11349.13,08/06/2026,4259,batch_import,,posted
JE-000292,INV/2026/00292,pay_EJebx9ySqVAGFf,MAKEMYTRIP INDIA,31.06,0.00,0.00,31.06,07/24/2026,4818,sysuser,,posted
JE-000286,INV/2026/00286,pay_PvEcWW4Jv54R4B,DELIGHTFUL GOURMET,72.98,0.00,0.00,72.98,07/23/2026,4540,accounts_team,,posted
JE-000256,INV/2026/00256,pay_vfYrRm1Dum1s7w,BUNDL TECHNOLOGIES,172.88,0.00,0.00,172.88,08/18/2026,4651,sysuser,,posted
JE-000036,INV/2026/00036,,FSN E-COMMERCE,219.04,0.00,0.00,219.04,08/07/2026,4772,sysuser,,posted
JE-000297,INV/2026/00297,pay_2fkaPv4u3XyoGY,DELIGHTFUL GOURMET,160.84,0.00,0.00,160.84,08/15/2026,4646,accounts_team,,posted
JE-000189,INV/2026/00189,pay_ZPKMJ4r1B4KXTS,DELIGHTFUL GOURMET,34.17,0.00,0.00,34.17,08/19/2026,4227,sysuser,,posted
JE-000312,INV/2026/00312,,LENSKART SOLUTIONS,30475.89,0.00,0.00,30475.89,08/04/2026,4767,sysuser,Voided entry,void
JE-000280,INV/2026/00280,pay_RqvlCFy3gRCZPs,MYNTRA DESIGNS,799.00,0.00,0.00,799.00,07/29/2026,4653,batch_import,,posted
JE-000278,INV/2026/00278,pay_xwneHBUlQb8sco,FSN E-COMMERCE,349.00,0.00,0.00,349.00,08/20/2026,4564,batch_import,,posted
JE-000252,INV/2026/00252,,AMAZON RETAIL,1924.55,0.00,0.00,1924.55,07/22/2026,4193,sysuser,,posted
JE-000026,INV/2026/00026,pay_oIwFXHlVpeZZkx,DELIGHTFUL GOURMET,199.19,0.00,0.00,199.19,08/09/2026,4063,accounts_team,,posted
JE-000113,INV/2026/00113,,DELIGHTFUL GOURMET,599.00,0.00,0.00,599.00,07/23/2026,4022,sysuser,,posted
JE-000223,INV/2026/00223,pay_o9vlznSia85iPs,INNOVATIVE RETAIL CONCEPTS,216530.47,0.00,0.00,216530.47,08/03/2026,4415,batch_import,,posted
JE-000310,INV/2026/00310,,THREPSI SOLUTIONS,15016.23,0.00,0.00,15016.23,08/18/2026,4165,sysuser,Not yet posted,draft
JE-000105,INV/2026/00105,pay_NHBr2HsGiEDE5I,MAKEMYTRIP INDIA,749.00,0.00,0.00,749.00,07/30/2026,4879,sysuser,,posted
JE-000205,INV/2026/00205,pay_Jf4PoOrzFJhN1c,BIGTREE ENTERTAINMENT,147.18,0.00,0.00,147.18,08/17/2026,4401,sysuser,,posted
JE-000055,INV/2026/00055,,BUNDL TECHNOLOGIES,99.00,0.00,0.00,99.00,07/25/2026,4600,sysuser,,posted
JE-000250,INV/2026/00250,pay_OEvXjNw4Pac8xj,LENSKART SOLUTIONS,599.00,0.00,0.00,599.00,07/26/2026,4146,accounts_team,,posted
JE-000074,INV/2026/00074,pay_goVTXDHBBiNOeh,LENSKART SOLUTIONS,4999.00,0.00,0.00,4999.00,07/30/2026,4656,accounts_team,,posted
JE-000152,INV/2026/00152,pay_E21N9klTx4wjne,ZOMATO LIMITED,3499.00,0.00,0.00,3499.00,08/05/2026,4033,batch_import,,posted
JE-000094,INV/2026/00094,pay_WJAYdLgPqrZEHO,MAKEMYTRIP INDIA,3999.00,0.00,0.00,3999.00,08/15/2026,4705,batch_import,,posted
JE-000269,INV/2026/00269,,CUREFIT HEALTHCARE,599.00,0.00,0.00,599.00,07/24/2026,4705,sysuser,,posted
JE-000236,INV/2026/00236,pay_OJ8tNjMyFhWGYf,THREPSI SOLUTIONS,149.00,0.00,0.00,149.00,07/28/2026,4184,batch_import,,posted
JE-000181,INV/2026/00181,pay_da1DFU3xwduL7j,DELIGHTFUL GOURMET,899.00,0.00,0.00,899.00,07/30/2026,4063,sysuser,,posted
JE-000066,INV/2026/00066,pay_ilqu9VK8Wh84ek,Amazon Retail India Pvt Ltd,15208.16,0.00,0.00,15208.16,07/30/2026,4961,sysuser,,posted
JE-000017,INV/2026/00017,pay_n4XAcLmDGhsFQA,BUNDL TECHNOLOGIES,5999.00,0.00,0.00,5999.00,08/05/2026,4035,accounts_team,,posted
JE-000248,INV/2026/00248,pay_RtOQ6Ci98nFcdO,MAKEMYTRIP INDIA,5999.00,0.00,0.00,5999.00,07/27/2026,4753,sysuser,,posted
JE-000159,INV/2026/00159,pay_xDYMP2au9hZynP,ZOMATO LIMITED,12999.00,0.00,0.00,12999.00,08/10/2026,4755,accounts_team,,posted
JE-000056,INV/2026/00056,pay_xe3L28TCPDCFHm,MAKEMYTRIP INDIA,6836.36,0.00,0.00,6836.36,08/15/2026,4699,sysuser,,posted
JE-000186,INV/2026/00186,pay_VoFBJ6adbwWQAr,INNOVATIVE RETAIL CONCEPTS,449.00,0.00,0.00,449.00,08/20/2026,4211,accounts_team,,posted
JE-000153,INV/2026/00153,pay_P6mzHDzW0mpmEc,THREPSI SOLUTIONS,329.96,0.00,0.00,329.96,08/05/2026,4430,sysuser,,posted
JE-000030,INV/2026/00030,pay_3eAfho79kBXtet,UC HOME SERVICES,70.62,0.00,0.00,70.62,08/20/2026,4448,accounts_team,,posted
JE-000039,INV/2026/00039,pay_rKFmftN245uOyP,THREPSI SOLUTIONS,124339.16,0.00,0.00,124339.16,07/30/2026,4649,accounts_team,,posted
JE-000079,INV/2026/00079,pay_WtQvT3aF1QYwTU,URBAN COMPANY,5433.99,0.00,0.00,5433.99,08/17/2026,4485,batch_import,,posted
JE-000057,INV/2026/00057,pay_3lMOZj14WMRVrt,BUNDL TECHNOLOGIES,168.05,0.00,0.00,168.05,07/26/2026,4152,accounts_team,,posted
JE-000020,INV/2026/00020,pay_buR7uCt3xKjt3p,AMAZON RETAIL,349.00,0.00,0.00,349.00,08/10/2026,4290,batch_import,,posted
JE-000182,INV/2026/00182,pay_u10FUmDuwagMXJ,THREPSI SOLUTIONS,749.00,0.00,0.00,749.00,08/06/2026,4481,sysuser,,posted
JE-000027,INV/2026/00027,pay_03fK9ERt526DXg,BIGTREE ENTERTAINMENT,499.00,0.00,0.00,499.00,08/08/2026,4524,sysuser,,posted
JE-000050,INV/2026/00050,pay_ERpiKd4b5FksUP,BUNDL TECHNOLOGIES,72815.34,0.00,0.00,72815.34,07/29/2026,4690,batch_import,,posted
JE-000145,INV/2026/00145,pay_HutxBcrMTrYa0r,LICIOUS,25.85,0.00,0.00,25.85,08/03/2026,4476,accounts_team,,posted
